{'stateEstimate.z': -0.14585214853286743, 'stateEstimate.y': 2.869148015975952, 'stateEstimate.x': 1.1711113452911377}
{'stateEstimate.z': -0.14622125029563904, 'stateEstimate.y': 2.869051456451416, 'stateEstimate.x': 1.174914836883545}
{'stateEstimate.z': -0.14461132884025574, 'stateEstimate.y': 2.868784189224243, 'stateEstimate.x': 1.1730998754501343}
{'stateEstimate.z': -0.145777627825737, 'stateEstimate.y': 2.8673293590545654, 'stateEstimate.x': 1.174257516860962}
{'stateEstimate.z': -0.14601720869541168, 'stateEstimate.y': 2.8682093620300293, 'stateEstimate.x': 1.174233078956604}
{'stateEstimate.z': -0.14661714434623718, 'stateEstimate.y': 2.868849515914917, 'stateEstimate.x': 1.1770853996276855}
{'stateEstimate.z': -0.1471869945526123, 'stateEstimate.y': 2.8728816509246826, 'stateEstimate.x': 1.174248456954956}
{'stateEstimate.z': -0.14571566879749298, 'stateEstimate.y': 2.8728785514831543, 'stateEstimate.x': 1.1738207340240479}
{'stateEstimate.z': -0.14619261026382446, 'stateEstimate.y': 2.8736824989318848, 'stateEstimate.x': 1.1757508516311646}
{'stateEstimate.z': -0.14527598023414612, 'stateEstimate.y': 2.871534585952759, 'stateEstimate.x': 1.1755733489990234}
{'stateEstimate.z': -0.14744757115840912, 'stateEstimate.y': 2.871805191040039, 'stateEstimate.x': 1.17915678024292}
{'stateEstimate.z': -0.14755238592624664, 'stateEstimate.y': 2.8708338737487793, 'stateEstimate.x': 1.1763020753860474}
{'stateEstimate.z': -0.14691826701164246, 'stateEstimate.y': 2.8680453300476074, 'stateEstimate.x': 1.175626277923584}
{'stateEstimate.z': -0.14715678989887238, 'stateEstimate.y': 2.8689846992492676, 'stateEstimate.x': 1.1758266687393188}
{'stateEstimate.z': -0.14589597284793854, 'stateEstimate.y': 2.8664166927337646, 'stateEstimate.x': 1.1744999885559082}
{'stateEstimate.z': -0.14616665244102478, 'stateEstimate.y': 2.8697509765625, 'stateEstimate.x': 1.17361581325531}
{'stateEstimate.z': -0.14520899951457977, 'stateEstimate.y': 2.8673629760742188, 'stateEstimate.x': 1.1705927848815918}
{'stateEstimate.z': -0.14548452198505402, 'stateEstimate.y': 2.8705718517303467, 'stateEstimate.x': 1.1705867052078247}
{'stateEstimate.z': -0.14495393633842468, 'stateEstimate.y': 2.8687689304351807, 'stateEstimate.x': 1.17020845413208}
{'stateEstimate.z': -0.1453462690114975, 'stateEstimate.y': 2.872620105743408, 'stateEstimate.x': 1.1697065830230713}
{'stateEstimate.z': -0.14376910030841827, 'stateEstimate.y': 2.869887113571167, 'stateEstimate.x': 1.1655677556991577}
{'stateEstimate.z': -0.1448870301246643, 'stateEstimate.y': 2.8699963092803955, 'stateEstimate.x': 1.167879581451416}
{'stateEstimate.z': -0.14546796679496765, 'stateEstimate.y': 2.870112419128418, 'stateEstimate.x': 1.1662960052490234}
{'stateEstimate.z': -0.14384084939956665, 'stateEstimate.y': 2.868870973587036, 'stateEstimate.x': 1.1648659706115723}
{'stateEstimate.z': -0.14573481678962708, 'stateEstimate.y': 2.869170665740967, 'stateEstimate.x': 1.1661903858184814}
{'stateEstimate.z': -0.14449723064899445, 'stateEstimate.y': 2.867710828781128, 'stateEstimate.x': 1.1667320728302002}
{'stateEstimate.z': -0.1459520012140274, 'stateEstimate.y': 2.8689451217651367, 'stateEstimate.x': 1.1688048839569092}
{'stateEstimate.z': -0.14514362812042236, 'stateEstimate.y': 2.8666625022888184, 'stateEstimate.x': 1.1671391725540161}
{'stateEstimate.z': -0.14555025100708008, 'stateEstimate.y': 2.866131067276001, 'stateEstimate.x': 1.1696317195892334}
{'stateEstimate.z': -0.14455534517765045, 'stateEstimate.y': 2.8635952472686768, 'stateEstimate.x': 1.1672215461730957}
{'stateEstimate.z': -0.14523491263389587, 'stateEstimate.y': 2.866854667663574, 'stateEstimate.x': 1.1676348447799683}
{'stateEstimate.z': -0.1459774523973465, 'stateEstimate.y': 2.865987777709961, 'stateEstimate.x': 1.1657644510269165}
{'stateEstimate.z': -0.14577196538448334, 'stateEstimate.y': 2.864100933074951, 'stateEstimate.x': 1.1649959087371826}
{'stateEstimate.z': -0.1462727189064026, 'stateEstimate.y': 2.8657383918762207, 'stateEstimate.x': 1.165842056274414}
{'stateEstimate.z': -0.14447654783725739, 'stateEstimate.y': 2.8629541397094727, 'stateEstimate.x': 1.164839267730713}
{'stateEstimate.z': -0.14676521718502045, 'stateEstimate.y': 2.863436698913574, 'stateEstimate.x': 1.1665666103363037}
{'stateEstimate.z': -0.1449766457080841, 'stateEstimate.y': 2.864014148712158, 'stateEstimate.x': 1.1670072078704834}
{'stateEstimate.z': -0.1460285782814026, 'stateEstimate.y': 2.863839864730835, 'stateEstimate.x': 1.1705214977264404}
{'stateEstimate.z': -0.14455518126487732, 'stateEstimate.y': 2.8623600006103516, 'stateEstimate.x': 1.166359543800354}
{'stateEstimate.z': -0.1455007642507553, 'stateEstimate.y': 2.862783432006836, 'stateEstimate.x': 1.1683025360107422}
{'stateEstimate.z': -0.14614498615264893, 'stateEstimate.y': 2.8625328540802, 'stateEstimate.x': 1.1676514148712158}
{'stateEstimate.z': -0.14544689655303955, 'stateEstimate.y': 2.8653993606567383, 'stateEstimate.x': 1.164005994796753}
{'stateEstimate.z': -0.14610294997692108, 'stateEstimate.y': 2.8693184852600098, 'stateEstimate.x': 1.1604667901992798}
{'stateEstimate.z': -0.14459432661533356, 'stateEstimate.y': 2.8674774169921875, 'stateEstimate.x': 1.1581144332885742}
{'stateEstimate.z': -0.1463015079498291, 'stateEstimate.y': 2.8676223754882812, 'stateEstimate.x': 1.1586412191390991}
{'stateEstimate.z': -0.14475145936012268, 'stateEstimate.y': 2.867354154586792, 'stateEstimate.x': 1.1592248678207397}
{'stateEstimate.z': -0.1451755315065384, 'stateEstimate.y': 2.867563009262085, 'stateEstimate.x': 1.1627278327941895}
{'stateEstimate.z': -0.14361600577831268, 'stateEstimate.y': 2.866946220397949, 'stateEstimate.x': 1.160437822341919}
{'stateEstimate.z': -0.1440272033214569, 'stateEstimate.y': 2.869952917098999, 'stateEstimate.x': 1.1600338220596313}
{'stateEstimate.z': -0.14437957108020782, 'stateEstimate.y': 2.8711252212524414, 'stateEstimate.x': 1.160158634185791}
{'stateEstimate.z': -0.142872616648674, 'stateEstimate.y': 2.8683533668518066, 'stateEstimate.x': 1.1591683626174927}
{'stateEstimate.z': -0.14412014186382294, 'stateEstimate.y': 2.8682048320770264, 'stateEstimate.x': 1.1601638793945312}
{'stateEstimate.z': -0.14248040318489075, 'stateEstimate.y': 2.8661813735961914, 'stateEstimate.x': 1.1585099697113037}
{'stateEstimate.z': -0.1442803591489792, 'stateEstimate.y': 2.866872787475586, 'stateEstimate.x': 1.1631187200546265}
{'stateEstimate.z': -0.14307409524917603, 'stateEstimate.y': 2.8651440143585205, 'stateEstimate.x': 1.1598546504974365}
{'stateEstimate.z': -0.14334377646446228, 'stateEstimate.y': 2.868274211883545, 'stateEstimate.x': 1.159064769744873}
{'stateEstimate.z': -0.14367665350437164, 'stateEstimate.y': 2.869156837463379, 'stateEstimate.x': 1.1595003604888916}
{'stateEstimate.z': -0.1427633911371231, 'stateEstimate.y': 2.866642475128174, 'stateEstimate.x': 1.1590757369995117}
{'stateEstimate.z': -0.14487546682357788, 'stateEstimate.y': 2.867108106613159, 'stateEstimate.x': 1.160788655281067}
{'stateEstimate.z': -0.1433967649936676, 'stateEstimate.y': 2.865586757659912, 'stateEstimate.x': 1.1601409912109375}
{'stateEstimate.z': -0.14486995339393616, 'stateEstimate.y': 2.866368293762207, 'stateEstimate.x': 1.1623831987380981}
{'stateEstimate.z': -0.14318494498729706, 'stateEstimate.y': 2.8663523197174072, 'stateEstimate.x': 1.1637462377548218}
{'stateEstimate.z': -0.1447909027338028, 'stateEstimate.y': 2.8670711517333984, 'stateEstimate.x': 1.167270541191101}
{'stateEstimate.z': -0.144806370139122, 'stateEstimate.y': 2.8669302463531494, 'stateEstimate.x': 1.165799617767334}
{'stateEstimate.z': -0.14443087577819824, 'stateEstimate.y': 2.864956855773926, 'stateEstimate.x': 1.1651690006256104}
{'stateEstimate.z': -0.14544160664081573, 'stateEstimate.y': 2.866158962249756, 'stateEstimate.x': 1.1654466390609741}
{'stateEstimate.z': -0.1436339020729065, 'stateEstimate.y': 2.8667850494384766, 'stateEstimate.x': 1.1623377799987793}
{'stateEstimate.z': -0.14464882016181946, 'stateEstimate.y': 2.8664398193359375, 'stateEstimate.x': 1.16310715675354}
{'stateEstimate.z': -0.14339707791805267, 'stateEstimate.y': 2.866321086883545, 'stateEstimate.x': 1.1640212535858154}
{'stateEstimate.z': -0.14409509301185608, 'stateEstimate.y': 2.8671021461486816, 'stateEstimate.x': 1.1655572652816772}
{'stateEstimate.z': -0.14345934987068176, 'stateEstimate.y': 2.866607189178467, 'stateEstimate.x': 1.1665332317352295}
{'stateEstimate.z': -0.144449844956398, 'stateEstimate.y': 2.8672709465026855, 'stateEstimate.x': 1.1680457592010498}
{'stateEstimate.z': -0.14347192645072937, 'stateEstimate.y': 2.8654303550720215, 'stateEstimate.x': 1.1656086444854736}
{'stateEstimate.z': -0.14523212611675262, 'stateEstimate.y': 2.8653910160064697, 'stateEstimate.x': 1.1702767610549927}
{'stateEstimate.z': -0.14412952959537506, 'stateEstimate.y': 2.865727186203003, 'stateEstimate.x': 1.1686065196990967}
{'stateEstimate.z': -0.14458730816841125, 'stateEstimate.y': 2.8636598587036133, 'stateEstimate.x': 1.1693443059921265}
{'stateEstimate.z': -0.14500120282173157, 'stateEstimate.y': 2.8646085262298584, 'stateEstimate.x': 1.1694707870483398}
{'stateEstimate.z': -0.1446598917245865, 'stateEstimate.y': 2.8625266551971436, 'stateEstimate.x': 1.1672226190567017}
{'stateEstimate.z': -0.1448983997106552, 'stateEstimate.y': 2.863215208053589, 'stateEstimate.x': 1.1670238971710205}
{'stateEstimate.z': -0.14337962865829468, 'stateEstimate.y': 2.862180471420288, 'stateEstimate.x': 1.166472315788269}
{'stateEstimate.z': -0.14408954977989197, 'stateEstimate.y': 2.8648643493652344, 'stateEstimate.x': 1.1672292947769165}
{'stateEstimate.z': -0.14325927197933197, 'stateEstimate.y': 2.8620011806488037, 'stateEstimate.x': 1.165202021598816}
{'stateEstimate.z': -0.14486055076122284, 'stateEstimate.y': 2.8649673461914062, 'stateEstimate.x': 1.1637318134307861}
